S.No.,Pin Code,City Name,State,Country,Is Active
364,132114,Karnal,Haryana,India,TRUE
365,132115,Panipat,Haryana,India,TRUE
366,132116,Karnal,Haryana,India,TRUE
367,132117,Karnal,Haryana,India,TRUE
368,132118,Kurukshetra,Haryana,India,TRUE
369,132122,Panipat,Haryana,India,TRUE
370,132132,Kurukshetra,Haryana,India,TRUE
371,132133,Ambala,Haryana,India,TRUE
372,132135,Kurukshetra,Haryana,India,TRUE
373,132140,Panipat,Haryana,India,TRUE
374,132145,Panipat,Haryana,India,TRUE
375,132157,Karnal,Haryana,India,TRUE
376,133001,Ambala,Haryana,India,TRUE
377,133003,Ambala,Haryana,India,TRUE
378,133004,Ambala,Haryana,India,TRUE
379,133005,Ambala,Haryana,India,TRUE
380,133006,Ambala,Haryana,India,TRUE
381,133010,Ambala,Haryana,India,TRUE
382,133101,Ambala,Haryana,India,TRUE
383,133102,Ambala,Haryana,India,TRUE
384,133103,Ambala,Haryana,India,TRUE
385,133104,Ambala,Haryana,India,TRUE
386,133201,Ambala,Haryana,India,TRUE
387,133202,Ambala,Haryana,India,TRUE
388,133203,Ambala,Haryana,India,TRUE
389,133204,Ambala,Haryana,India,TRUE
390,133205,Ambala,Haryana,India,TRUE
391,133206,Ambala,Haryana,India,TRUE
392,133207,Ambala,Haryana,India,TRUE
393,133301,Ambala,Haryana,India,TRUE
394,133302,Ambala,Haryana,India,TRUE
395,134002,Ambala,Haryana,India,TRUE
396,134003,Ambala,Haryana,India,TRUE
397,134005,Ambala,Haryana,India,TRUE
398,134007,Ambala,Haryana,India,TRUE
399,134008,Ambala,Haryana,India,TRUE
400,134101,Panchkula,Haryana,India,TRUE
401,134102,Panchkula,Haryana,India,TRUE
402,134103,Panchkula,Haryana,India,TRUE
403,134104,Panchkula,Haryana,India,TRUE
404,134105,Panchkula,Haryana,India,TRUE
405,134107,Panchkula,Haryana,India,TRUE
406,134108,Panchkula,Haryana,India,TRUE
407,134109,Panchkula,Haryana,India,TRUE
408,134112,Panchkula,Haryana,India,TRUE
409,134113,Panchkula,Haryana,India,TRUE
410,134114,Panchkula,Haryana,India,TRUE
411,134115,Panchkula,Haryana,India,TRUE
412,134116,Panchkula,Haryana,India,TRUE
413,134117,Panchkula,Haryana,India,TRUE
414,134118,Ambala,Haryana,India,TRUE
415,134201,Ambala,Haryana,India,TRUE
416,134202,Ambala City Ho,Haryana,India,TRUE
417,134203,Ambala City Ho,Haryana,India,TRUE
418,134204,Panchkula,Haryana,India,TRUE
419,134205,Ambala,Haryana,India,TRUE
420,135001,Ambala,Haryana,India,TRUE
421,135002,Yamuna Nagar,Haryana,India,TRUE
422,135003,Ambala,Haryana,India,TRUE
423,135004,Yamuna Nagar,Haryana,India,TRUE
424,135021,Ambala,Haryana,India,TRUE
425,135101,Ambala,Haryana,India,TRUE
426,135102,Ambala,Haryana,India,TRUE
427,135103,Ambala,Haryana,India,TRUE
428,135106,Ambala,Haryana,India,TRUE
429,135133,Ambala,Haryana,India,TRUE
430,136020,Kaithal,Haryana,India,TRUE
431,136021,Kaithal,Haryana,India,TRUE
432,136026,Kaithal,Haryana,India,TRUE
433,136027,Kaithal,Haryana,India,TRUE
434,136030,Kurukshetra,Haryana,India,TRUE
435,136033,Kaithal,Haryana,India,TRUE
436,136034,Kaithal,Haryana,India,TRUE
437,136035,Kaithal,Haryana,India,TRUE
438,136038,Kurukshetra,Haryana,India,TRUE
439,136042,Kaithal,Haryana,India,TRUE
440,136043,Kaithal,Haryana,India,TRUE
441,136044,Kaithal,Haryana,India,TRUE
442,136117,Kaithal,Haryana,India,TRUE
443,136118,Kurukshetra,Haryana,India,TRUE
444,136119,Kurukshetra,Haryana,India,TRUE
445,136128,Kurukshetra,Haryana,India,TRUE
446,136129,Kurukshetra,Haryana,India,TRUE
447,136130,Kurukshetra,Haryana,India,TRUE
448,136131,Kurukshetra,Haryana,India,TRUE
449,136132,Kurukshetra,Haryana,India,TRUE
450,136135,Kurukshetra,Haryana,India,TRUE
451,136136,Kurukshetra,Haryana,India,TRUE
452,136156,Kurukshetra,Haryana,India,TRUE
453,140001,Rupnagar,Punjab,India,TRUE
454,140101,Rupnagar,Punjab,India,TRUE
455,140102,Fatehgarh Sahib,Punjab,India,TRUE
456,140103,Rupnagar,Punjab,India,TRUE
457,140105,Mohali(SAS-Nagar),Punjab,India,TRUE
458,140107,Mohali(SAS-Nagar),Punjab,India,TRUE
459,140108,Rupnagar,Punjab,India,TRUE
460,140109,Mohali(SAS-Nagar),Punjab,India,TRUE
461,140110,Mohali(SAS-Nagar),Punjab,India,TRUE
462,140111,Rupnagar,Punjab,India,TRUE
463,140112,Rupnagar,Punjab,India,TRUE
464,140113,Rupnagar,Punjab,India,TRUE
465,140114,Rupnagar,Punjab,India,TRUE
466,140115,Rupnagar,Punjab,India,TRUE
467,140116,Rupnagar,Punjab,India,TRUE
468,140117,Rupnagar,Punjab,India,TRUE
469,140118,Ropar,Punjab,India,TRUE
470,140119,Ropar,Punjab,India,TRUE
471,140123,Rupnagar,Punjab,India,TRUE
472,140124,Rupnagar,Punjab,India,TRUE
473,140125,Ropar,Punjab,India,TRUE
474,140126,Rupnagar,Punjab,India,TRUE
475,140133,Ropar,Punjab,India,TRUE
476,140201,Patiala,Punjab,India,TRUE
477,140301,Rupnagar,Punjab,India,TRUE
478,140306,Rupnagar,Punjab,India,TRUE
479,140307,Rupnagar,Punjab,India,TRUE
480,140308,Rupnagar,Punjab,India,TRUE
481,140401,Patiala,Punjab,India,TRUE
482,140402,Patiala,Punjab,India,TRUE
483,140405,Fatehgarh Sahib,Punjab,India,TRUE
484,140406,Fatehgarh Sahib,Punjab,India,TRUE
485,140407,Fatehgarh Sahib,Punjab,India,TRUE
486,140408,Fatehgarh Sahib,Punjab,India,TRUE
487,140412,BASSI,Punjab,India,TRUE
488,140413,Rupnagar,Punjab,India,TRUE
489,140417,Patiala,Punjab,India,TRUE
490,140501,Patiala,Punjab,India,TRUE
491,140506,Patiala,Punjab,India,TRUE
492,140507,Mohali(SAS-Nagar),Punjab,India,TRUE
493,140601,Patiala,Punjab,India,TRUE
494,140602,Rupnagar,Punjab,India,TRUE
495,140603,Mohali(SAS-Nagar),Punjab,India,TRUE
496,140604,Mohali(SAS-Nagar),Punjab,India,TRUE
497,140701,Patiala,Punjab,India,TRUE
